nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:06:44.100, 1, 126.67 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:06:54.100, 0, 119.01 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:06:54.100, 1, 126.68 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:04.100, 0, 119.03 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:04.100, 1, 126.64 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:14.099, 0, 119.14 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:14.100, 1, 126.67 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:24.099, 0, 119.11 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:24.099, 1, 126.71 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:34.099, 0, 119.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:34.099, 1, 126.75 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:44.099, 0, 119.15 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:44.099, 1, 126.73 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:07:54.098, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:07:54.098, 1, 126.69 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:04.098, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:04.098, 1, 126.66 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:14.098, 0, 119.06 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:14.098, 1, 126.69 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:24.098, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:24.098, 1, 126.60 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:34.097, 0, 119.08 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:34.098, 1, 126.69 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:44.097, 0, 119.10 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:44.097, 1, 126.65 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:08:54.097, 0, 119.08 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:08:54.097, 1, 126.63 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:04.097, 0, 119.07 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:04.097, 1, 126.65 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:14.097, 0, 119.03 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:14.097, 1, 126.56 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:24.097, 0, 119.10 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:24.097, 1, 126.62 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:34.097, 0, 119.06 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:34.097, 1, 126.63 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:44.097, 0, 119.03 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:44.097, 1, 126.64 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:09:54.097, 0, 119.10 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:09:54.097, 1, 126.61 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:10:04.097, 0, 119.06 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:10:04.097, 1, 126.75 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:10:14.096, 0, 119.01 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
