epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1785388690.329,2026-07-30T05:18:10.329293+00:00,contended,37.6,747.73,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.363,2026-07-30T05:18:10.363047+00:00,contended,33.8,747.73,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.399,2026-07-30T05:18:10.399091+00:00,contended,36.0,752.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.436,2026-07-30T05:18:10.436076+00:00,contended,37.0,752.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.469,2026-07-30T05:18:10.469047+00:00,contended,33.0,752.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.505,2026-07-30T05:18:10.505255+00:00,contended,36.2,761.45,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.542,2026-07-30T05:18:10.541609+00:00,contended,36.4,761.45,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.577,2026-07-30T05:18:10.576779+00:00,contended,35.2,761.45,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.616,2026-07-30T05:18:10.615745+00:00,contended,39.0,767.1,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.65,2026-07-30T05:18:10.650209+00:00,contended,34.5,767.1,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.684,2026-07-30T05:18:10.683675+00:00,contended,33.5,767.1,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.723,2026-07-30T05:18:10.722865+00:00,contended,39.2,767.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.757,2026-07-30T05:18:10.756803+00:00,contended,33.9,767.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.79,2026-07-30T05:18:10.789787+00:00,contended,33.0,767.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.826,2026-07-30T05:18:10.825972+00:00,contended,36.2,771.8,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.91,2026-07-30T05:18:10.910436+00:00,contended,84.5,771.8,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388690.971,2026-07-30T05:18:10.971030+00:00,contended,60.6,775.08,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.024,2026-07-30T05:18:11.024398+00:00,contended,53.4,783.74,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.07,2026-07-30T05:18:11.069626+00:00,contended,45.2,783.74,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.11,2026-07-30T05:18:11.109740+00:00,contended,40.1,789.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.145,2026-07-30T05:18:11.144634+00:00,contended,34.9,789.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.178,2026-07-30T05:18:11.177988+00:00,contended,33.4,789.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.216,2026-07-30T05:18:11.215553+00:00,contended,37.6,791.32,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.296,2026-07-30T05:18:11.295661+00:00,contended,80.1,791.32,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.332,2026-07-30T05:18:11.331680+00:00,contended,36.0,791.16,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.377,2026-07-30T05:18:11.377343+00:00,contended,45.7,791.16,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.414,2026-07-30T05:18:11.414230+00:00,contended,36.9,787.87,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.672,2026-07-30T05:18:11.671607+00:00,contended,257.4,786.76,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.73,2026-07-30T05:18:11.730107+00:00,contended,58.5,792.54,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.797,2026-07-30T05:18:11.797196+00:00,contended,67.1,792.54,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.867,2026-07-30T05:18:11.867276+00:00,contended,70.1,800.43,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.91,2026-07-30T05:18:11.909697+00:00,contended,42.4,806.57,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.944,2026-07-30T05:18:11.944392+00:00,contended,34.7,806.57,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388691.981,2026-07-30T05:18:11.980522+00:00,contended,36.1,806.57,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.025,2026-07-30T05:18:12.025502+00:00,contended,45.0,805.13,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.063,2026-07-30T05:18:12.063427+00:00,contended,37.9,805.13,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.102,2026-07-30T05:18:12.101856+00:00,contended,38.4,801.46,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.137,2026-07-30T05:18:12.137136+00:00,contended,35.3,801.46,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.172,2026-07-30T05:18:12.171581+00:00,contended,34.4,801.46,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.212,2026-07-30T05:18:12.211751+00:00,contended,40.2,795.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.245,2026-07-30T05:18:12.245507+00:00,contended,33.8,795.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.279,2026-07-30T05:18:12.279488+00:00,contended,34.0,795.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.327,2026-07-30T05:18:12.327258+00:00,contended,47.8,788.74,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.363,2026-07-30T05:18:12.362520+00:00,contended,35.3,788.74,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.407,2026-07-30T05:18:12.406599+00:00,contended,44.1,782.35,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.442,2026-07-30T05:18:12.441912+00:00,contended,35.3,782.35,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.476,2026-07-30T05:18:12.476104+00:00,contended,34.2,782.35,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.516,2026-07-30T05:18:12.515679+00:00,contended,39.6,772.96,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.565,2026-07-30T05:18:12.565507+00:00,contended,49.8,772.96,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.602,2026-07-30T05:18:12.602391+00:00,contended,36.9,771.5,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388692.641,2026-07-30T05:18:12.640591+00:00,contended,38.2,771.5,100.0,3.0,1940.0,1965.0,3996.0,65.0
